MAXLEN,DESCRIPTION,CHARACTER_SET_NAME,DEFAULT_COLLATE_NAME
2,Big5 Traditional Chinese,big5,big5_chinese_ci
1,DEC West European,dec8,dec8_swedish_ci
1,DOS West European,cp850,cp850_general_ci
1,HP West European,hp8,hp8_english_ci
1,KOI8-R Relcom Russian,koi8r,koi8r_general_ci
1,cp1252 West European,latin1,latin1_swedish_ci
1,ISO 8859-2 Central European,latin2,latin2_general_ci
1,7bit Swedish,swe7,swe7_swedish_ci
1,US ASCII,ascii,ascii_general_ci
3,EUC-JP Japanese,ujis,ujis_japanese_ci
2,Shift-JIS Japanese,sjis,sjis_japanese_ci
1,ISO 8859-8 Hebrew,hebrew,hebrew_general_ci
1,TIS620 Thai,tis620,tis620_thai_ci
2,EUC-KR Korean,euckr,euckr_korean_ci
1,KOI8-U Ukrainian,koi8u,koi8u_general_ci
2,GB2312 Simplified Chinese,gb2312,gb2312_chinese_ci
1,ISO 8859-7 Greek,greek,greek_general_ci
1,Windows Central European,cp1250,cp1250_general_ci
2,GBK Simplified Chinese,gbk,gbk_chinese_ci
1,ISO 8859-9 Turkish,latin5,latin5_turkish_ci
1,ARMSCII-8 Armenian,armscii8,armscii8_general_ci
3,UTF-8 Unicode,utf8,utf8_general_ci
2,UCS-2 Unicode,ucs2,ucs2_general_ci
1,DOS Russian,cp866,cp866_general_ci
1,DOS Kamenicky Czech-Slovak,keybcs2,keybcs2_general_ci
1,Mac Central European,macce,macce_general_ci
1,Mac West European,macroman,macroman_general_ci
1,DOS Central European,cp852,cp852_general_ci
1,ISO 8859-13 Baltic,latin7,latin7_general_ci
4,UTF-8 Unicode,utf8mb4,utf8mb4_general_ci
1,Windows Cyrillic,cp1251,cp1251_general_ci
4,UTF-16 Unicode,utf16,utf16_general_ci
1,Windows Arabic,cp1256,cp1256_general_ci
1,Windows Baltic,cp1257,cp1257_general_ci
4,UTF-32 Unicode,utf32,utf32_general_ci
1,Binary pseudo charset,binary,binary
1,GEOSTD8 Georgian,geostd8,geostd8_general_ci
2,SJIS for Windows Japanese,cp932,cp932_japanese_ci
3,UJIS for Windows Japanese,eucjpms,eucjpms_japanese_ci

