XA,ENGINE,COMMENT,SUPPORT,SAVEPOINTS,TRANSACTIONS
NULL,FEDERATED,Federated MySQL storage engine,NO,NULL,NULL
NO,MRG_MYISAM,Collection of identical MyISAM tables,YES,NO,NO
NO,CSV,CSV storage engine,YES,NO,NO
NO,BLACKHOLE,/dev/null storage engine (anything you write to it disappears),YES,NO,NO
NO,MEMORY,"Hash based, stored in memory, useful for temporary tables",YES,NO,NO
NO,MyISAM,MyISAM storage engine,YES,NO,NO
NO,ARCHIVE,Archive storage engine,YES,NO,NO
NO,PERFORMANCE_SCHEMA,Performance Schema,YES,NO,NO
YES,InnoDB,"Supports transactions, row-level locking, and foreign keys",DEFAULT,YES,YES

