LOAD_OPTION,PLUGIN_NAME,PLUGIN_TYPE,PLUGIN_STATUS,PLUGIN_AUTHOR,PLUGIN_VERSION,PLUGIN_LIBRARY,PLUGIN_LICENSE,PLUGIN_DESCRIPTION,PLUGIN_TYPE_VERSION,PLUGIN_LIBRARY_VERSION
FORCE,binlog,STORAGE ENGINE,ACTIVE,MySQL AB,1.0,NULL,GPL,This is a pseudo storage engine to represent the binlog in a transaction,50544.0,NULL
FORCE,mysql_native_password,AUTHENTICATION,ACTIVE,"R.J.Silk, Sergei Golubchik",1.0,NULL,GPL,Native MySQL authentication,1.0,NULL
FORCE,mysql_old_password,AUTHENTICATION,ACTIVE,"R.J.Silk, Sergei Golubchik",1.0,NULL,GPL,Old MySQL-4.0 authentication,1.0,NULL
FORCE,MyISAM,STORAGE ENGINE,ACTIVE,MySQL AB,1.0,NULL,GPL,MyISAM storage engine,50544.0,NULL
FORCE,MEMORY,STORAGE ENGINE,ACTIVE,MySQL AB,1.0,NULL,GPL,"Hash based, stored in memory, useful for temporary tables",50544.0,NULL
FORCE,CSV,STORAGE ENGINE,ACTIVE,"Brian Aker, MySQL AB",1.0,NULL,GPL,CSV storage engine,50544.0,NULL
FORCE,MRG_MYISAM,STORAGE ENGINE,ACTIVE,MySQL AB,1.0,NULL,GPL,Collection of identical MyISAM tables,50544.0,NULL
OFF,FEDERATED,STORAGE ENGINE,DISABLED,"Patrick Galbraith and Brian Aker, MySQL AB",1.0,NULL,GPL,Federated MySQL storage engine,50544.0,NULL
ON,BLACKHOLE,STORAGE ENGINE,ACTIVE,MySQL AB,1.0,NULL,GPL,/dev/null storage engine (anything you write to it disappears),50544.0,NULL
ON,ARCHIVE,STORAGE ENGINE,ACTIVE,"Brian Aker, MySQL AB",3.0,NULL,GPL,Archive storage engine,50544.0,NULL
FORCE,PERFORMANCE_SCHEMA,STORAGE ENGINE,ACTIVE,"Marc Alff, Oracle",0.1,NULL,GPL,Performance Schema,50544.0,NULL
ON,InnoDB,STORAGE ENGINE,ACTIVE,Oracle Corporation,5.5,NULL,GPL,"Supports transactions, row-level locking, and foreign keys",50544.0,NULL
ON,INNODB_TRX,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.5,NULL,GPL,InnoDB transactions,50544.0,NULL
ON,INNODB_LOCKS,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.5,NULL,GPL,InnoDB conflicting locks,50544.0,NULL
ON,INNODB_LOCK_WAITS,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.5,NULL,GPL,InnoDB which lock is blocking which,50544.0,NULL
ON,INNODB_CMP,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.5,NULL,GPL,Statistics for the InnoDB compression,50544.0,NULL
ON,INNODB_CMP_RESET,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.5,NULL,GPL,Statistics for the InnoDB compression; reset cumulated counts,50544.0,NULL
ON,INNODB_CMPMEM,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.5,NULL,GPL,Statistics for the InnoDB compressed buffer pool,50544.0,NULL
ON,INNODB_CMPMEM_RESET,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.5,NULL,GPL,Statistics for the InnoDB compressed buffer pool; reset cumulated counts,50544.0,NULL
ON,INNODB_BUFFER_PAGE,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.5,NULL,GPL,InnoDB Buffer Page Information,50544.0,NULL
ON,INNODB_BUFFER_PAGE_LRU,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.5,NULL,GPL,InnoDB Buffer Page in LRU,50544.0,NULL
ON,INNODB_BUFFER_POOL_STATS,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.5,NULL,GPL,InnoDB Buffer Pool Statistics Information ,50544.0,NULL
ON,partition,STORAGE ENGINE,ACTIVE,"Mikael Ronstrom, MySQL AB",1.0,NULL,GPL,Partition Storage Engine Helper,50544.0,NULL

